match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Cambuur vs Vitesse,1X2,Home,2.57,0.4702499163496565,0.38910505836575876,0.08114485798389776,L,-10.0,Eredivisie,1,2022-10-15
Werder Bremen vs Mainz,1X2,Home,2.36,0.5738921953094663,0.42372881355932207,0.15016338175014426,L,-10.0,Bundesliga,1,2022-10-15
RB Leipzig vs Hertha,O/U,Under 2.5,2.49,0.4861304495088208,0.4016064257028112,0.0845240238060096,L,-10.0,Bundesliga,1,2022-10-15
Reading vs West Brom,1X2,Home,3.41,0.4780423936192909,0.29325513196480935,0.18478726165448156,L,-10.0,Championship,2,2022-10-15
Bristol City vs Millwall,1X2,Home,2.48,0.5096080480474606,0.40322580645161293,0.10638224159584769,L,-10.0,Championship,2,2022-10-15
Kortrijk vs Waregem,O/U,Under 2.5,2.15,0.5155454420392162,0.46511627906976744,0.050429162969448715,L,-10.0,Jupiler Pro League,1,2022-10-15
Tottenham vs Everton,O/U,Over 2.5,1.76,0.6201069367262684,0.5681818181818182,0.051925118544450144,L,-10.0,Premier League,1,2022-10-15
Tottenham vs Everton,1X2,Home,1.49,0.7975736340399999,0.6711409395973155,0.12643269444268446,W,4.9,Premier League,1,2022-10-15
Mallorca vs Sevilla,1X2,Home,2.93,0.4458995230309356,0.341296928327645,0.10460259470329059,L,-10.0,La Liga,1,2022-10-15
Girona vs Cadiz,O/U,Over 2.5,2.46,0.4811349953207327,0.4065040650406504,0.07463093028008227,L,-10.0,La Liga,1,2022-10-15
Karlsruhe vs Darmstadt,O/U,Under 2.5,2.3,0.49739204678974214,0.4347826086956522,0.06260943809408992,L,-10.0,2. Bundesliga,2,2022-10-15
PSV Eindhoven vs Utrecht,1X2,Home,1.38,0.8118274270969719,0.7246376811594204,0.08718974593755147,W,3.799999999999999,Eredivisie,1,2022-10-16
Sparta Rotterdam vs Nijmegen,1X2,Home,2.38,0.5295026744325473,0.42016806722689076,0.10933460720565652,W,13.799999999999999,Eredivisie,1,2022-10-16
Buyuksehyr vs Istanbulspor,O/U,Under 2.5,2.03,0.5452922156000404,0.4926108374384237,0.052681378161616665,W,10.299999999999997,Super Lig,1,2022-10-16
FC Koln vs Augsburg,O/U,Under 2.5,2.34,0.523285694650311,0.4273504273504274,0.09593526729988366,L,-10.0,Bundesliga,1,2022-10-16
Standard vs Antwerp,1X2,Away,2.33,0.517038188051997,0.4291845493562232,0.08785363869577378,L,-10.0,Jupiler Pro League,1,2022-10-16
Holstein Kiel vs Heidenheim,O/U,Under 2.5,2.1,0.5328730281291906,0.47619047619047616,0.05668255193871441,L,-10.0,2. Bundesliga,2,2022-10-16
Troyes vs Ajaccio,O/U,Over 2.5,2.33,0.4887704125953775,0.4291845493562232,0.059585863239154324,L,-10.0,Ligue 1,1,2022-10-16
