date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-08-25,WTA,WTA250,Hard,Quarterfinals,pB,1.53,0.9978845679899677,0.6535947712418301,0.34428979674813764,1,5.300000000000001
2022-08-25,WTA,WTA250,Hard,Quarterfinals,pA,1.82,0.5829999566078186,0.5494505494505494,0.03354940715726917,1,8.200000000000001
2022-08-25,WTA,WTA250,Hard,Quarterfinals,pB,1.56,0.9476145263761282,0.641025641025641,0.30658888535048723,1,5.6000000000000005
2022-08-25,WTA,WTA250,Hard,Quarterfinals,pA,2.78,0.4777105629444122,0.3597122302158274,0.11799833272858484,0,-10.0
2022-08-26,WTA,WTA250,Hard,Semifinals,pB,1.95,0.9679493693634867,0.5128205128205129,0.45512885654297386,1,9.5
2022-08-26,WTA,WTA250,Hard,Semifinals,pB,1.63,0.7171960473060608,0.6134969325153374,0.10369911479072336,1,6.299999999999999
2022-08-27,WTA,WTA250,Hard,The Final,pA,2.75,0.5058665871620178,0.36363636363636365,0.14223022352565418,0,-10.0
2022-08-21,WTA,WTA250,Hard,1st Round,pA,2.15,0.9839223384857178,0.46511627906976744,0.5188060594159503,1,11.5
2022-08-21,WTA,WTA250,Hard,1st Round,pB,1.84,0.9852148639038205,0.5434782608695652,0.4417366030342553,1,8.4
2022-08-21,WTA,WTA250,Hard,1st Round,pB,2.45,0.5034375846385956,0.4081632653061224,0.09527431933247316,1,14.500000000000002
2022-08-21,WTA,WTA250,Hard,1st Round,pA,1.3,0.984054970741272,0.7692307692307692,0.21482420151050285,1,3.0000000000000004
2022-08-22,WTA,WTA250,Hard,1st Round,pB,1.22,0.9978845679899677,0.819672131147541,0.1782124368424267,1,2.1999999999999997
2022-08-22,WTA,WTA250,Hard,1st Round,pB,1.2,0.9925865014782176,0.8333333333333334,0.15925316814488422,1,1.9999999999999996
2022-08-22,WTA,WTA250,Hard,1st Round,pB,4.06,0.9298169810324908,0.24630541871921185,0.6835115623132789,1,30.599999999999994
2022-08-22,WTA,WTA250,Hard,1st Round,pB,1.16,0.9965773784322665,0.8620689655172414,0.13450841291502502,1,1.5999999999999992
2022-08-22,WTA,WTA250,Hard,1st Round,pB,1.36,0.9978845679899677,0.7352941176470588,0.26259045034290895,1,3.600000000000001
2022-08-22,WTA,WTA250,Hard,1st Round,pB,1.31,0.9862413842231035,0.7633587786259541,0.22288260559714934,1,3.1000000000000005
2022-08-22,WTA,WTA250,Hard,1st Round,pB,1.15,0.9009945593774319,0.8695652173913044,0.03142934198612746,1,1.4999999999999991
2022-08-22,WTA,WTA250,Hard,1st Round,pA,1.35,0.9024811625480652,0.7407407407407407,0.1617404218073245,1,3.500000000000001
2022-08-24,WTA,WTA250,Hard,2nd Round,pB,1.97,0.9667132690548896,0.5076142131979695,0.4590990558569201,1,9.7
2022-08-24,WTA,WTA250,Hard,2nd Round,pA,2.93,0.9148660182952881,0.341296928327645,0.5735690899676431,1,19.3
2022-08-24,WTA,WTA250,Hard,2nd Round,pB,1.25,0.9945922667859122,0.8,0.19459226678591213,1,2.5
2022-08-24,WTA,WTA250,Hard,2nd Round,pB,1.11,0.9541103729978204,0.9009009009009008,0.05320947209691962,1,1.100000000000001
2022-08-24,WTA,WTA250,Hard,2nd Round,pB,1.57,0.9444731030613184,0.6369426751592356,0.30753042790208274,1,5.700000000000001
2022-08-25,WTA,WTA250,Hard,2nd Round,pB,1.22,0.9013348877429962,0.819672131147541,0.08166275659545519,1,2.1999999999999997
2022-08-25,WTA,WTA250,Hard,Quarterfinals,pB,1.64,0.9430691137909889,0.6097560975609756,0.3333130162300133,1,6.399999999999999
2022-08-25,WTA,WTA250,Hard,Quarterfinals,pA,1.74,0.9944642186164856,0.5747126436781609,0.4197515749383247,1,7.4
2022-08-26,WTA,WTA250,Hard,Semifinals,pB,1.17,0.95201550796628,0.8547008547008548,0.09731465326542521,1,1.6999999999999993
2022-08-27,WTA,WTA250,Hard,The Final,pA,1.34,0.893326210975647,0.7462686567164178,0.14705755425922917,1,3.400000000000001
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,2.09,0.522850501537323,0.47846889952153115,0.04438160201579189,0,-10.0
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,2.8,0.42210680842399595,0.35714285714285715,0.0649639512811388,0,-10.0
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,2.85,0.5777337193489075,0.3508771929824561,0.22685652636645137,0,-10.0
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,2.53,0.6074182391166687,0.3952569169960475,0.21216132212062122,1,15.299999999999997
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,2.82,0.4587061643600464,0.3546099290780142,0.10409623528203221,1,18.2
2022-08-29,WTA,Grand Slam,Hard,1st Round,pB,4.1,0.3980754852294922,0.24390243902439027,0.15417304620510194,0,-10.0
2022-08-29,WTA,Grand Slam,Hard,1st Round,pA,4.34,0.28076999485492704,0.2304147465437788,0.05035524831114824,1,33.4
2022-08-29,WTA,Grand Slam,Hard,1st Round,pB,1.95,0.5835379540920258,0.5128205128205129,0.07071744127151292,1,9.5
