match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Nantes vs Rennes,1X2,Home,3.03,0.42595023413964883,0.33003300330033003,0.0959172308393188,False,-10.0,Ligue 1,1,2024-04-20
Cardiff vs Southampton,O/U,Under 2.5,2.32,0.4813067084560695,0.4310344827586207,0.05027222569744877,False,-10.0,Championship,2,2024-04-20
Annecy vs Grenoble,1X2,Home,1.91,0.6035231023170804,0.5235602094240838,0.07996289289299663,False,-10.0,Ligue 2,2,2024-04-20
Fortuna Dusseldorf vs Greuther Furth,O/U,Under 2.5,2.39,0.4847965812032009,0.41841004184100417,0.06638653936219674,True,13.900000000000002,2. Bundesliga,2,2024-04-20
Kaiserslautern vs Wehen,O/U,Under 2.5,2.26,0.5317039542477527,0.4424778761061947,0.08922607814155803,True,12.599999999999998,2. Bundesliga,2,2024-04-20
Doncaster vs Barrow,1X2,Home,2.08,0.5616850611204396,0.4807692307692307,0.08091583035120886,True,10.8,League Two,4,2024-04-20
Grimsby vs Swindon,O/U,Under 2.5,2.19,0.5087234642005309,0.4566210045662101,0.05210245963432086,True,11.899999999999999,League Two,4,2024-04-20
Mansfield vs Gillingham,1X2,Home,1.94,0.5754833290527663,0.5154639175257733,0.06001941152699308,True,9.399999999999999,League Two,4,2024-04-20
Girona vs Cadiz,O/U,Under 2.5,2.17,0.5893112235197847,0.4608294930875576,0.1284817304322271,False,-10.0,La Liga,1,2024-04-20
Sheffield United vs Burnley,O/U,Under 2.5,2.25,0.516987923868462,0.4444444444444444,0.07254347942401762,False,-10.0,Premier League,1,2024-04-20
Huesca vs Zaragoza,1X2,Home,2.56,0.47953103909333517,0.390625,0.08890603909333517,False,-10.0,Segunda Division,2,2024-04-20
Luton vs Brentford,O/U,Under 2.5,2.43,0.5052496875181566,0.4115226337448559,0.09372705377330065,False,-10.0,Premier League,1,2024-04-20
Luton vs Brentford,1X2,Home,3.18,0.39766322781179203,0.31446540880503143,0.0831978190067606,False,-10.0,Premier League,1,2024-04-20
Wolfsburg vs Bochum,O/U,Under 2.5,2.22,0.5027608686201288,0.4504504504504504,0.05231041816967841,True,12.200000000000003,Bundesliga,1,2024-04-20
FC Koln vs Darmstadt,O/U,Under 2.5,2.28,0.5142940092901341,0.4385964912280702,0.07569751806206393,True,12.799999999999997,Bundesliga,1,2024-04-20
Charleroi vs Eupen,O/U,Under 2.5,1.93,0.5835077369826803,0.5181347150259068,0.06537302195677352,True,9.299999999999999,Jupiler Pro League,1,2024-04-21
Hansa Rostock vs Magdeburg,O/U,Under 2.5,2.14,0.5213200381047137,0.4672897196261682,0.0540303184785455,True,11.400000000000002,2. Bundesliga,2,2024-04-21
Hannover vs St Pauli,1X2,Home,2.97,0.4286389362598301,0.33670033670033667,0.0919385995594934,False,-10.0,2. Bundesliga,2,2024-04-21
Olympiakos vs PAOK,1X2,Home,2.06,0.5857766594521081,0.4854368932038835,0.1003397662482246,True,10.600000000000001,Super League,1,2024-04-21
Almeria vs Villarreal,O/U,Under 2.5,2.32,0.5026188264357847,0.4310344827586207,0.07158434367716399,False,-10.0,La Liga,1,2024-04-21
Real Madrid vs Barcelona,O/U,Under 2.5,2.48,0.4920610811819911,0.40322580645161293,0.08883527473037817,False,-10.0,La Liga,1,2024-04-21
Dortmund vs Leverkusen,1X2,Away,2.55,0.5741356515639221,0.3921568627450981,0.181978788818824,False,-10.0,Bundesliga,1,2024-04-21
Brest vs Monaco,1X2,Home,2.69,0.4928740413905893,0.3717472118959108,0.12112682949467851,False,-10.0,Ligue 1,1,2024-04-21
Roma vs Bologna,1X2,Away,3.23,0.4596811580553256,0.30959752321981426,0.15008363483551135,True,22.3,Serie A,1,2024-04-22
Westerlo vs Oud-Heverlee Leuven,O/U,Under 2.5,2.24,0.5410370010711452,0.4464285714285714,0.09460842964257377,True,12.400000000000002,Jupiler Pro League,1,2024-04-23
Troyes vs Pau FC,1X2,Away,2.92,0.45433758389788226,0.3424657534246575,0.11187183047322474,False,-10.0,Ligue 2,2,2024-04-23
Guingamp vs Angers,1X2,Home,2.25,0.5444454409186184,0.4444444444444444,0.10000099647417393,False,-10.0,Ligue 2,2,2024-04-23
Arsenal vs Chelsea,1X2,Home,1.45,0.7418591294441657,0.6896551724137931,0.052203957030372505,True,4.5,Premier League,1,2024-04-23
