league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Romania: Division 2/Serie B,2,387,82,0.2119,-1213.2,-31.35,3.566,0.2667,1,5,"{'2007-08': 46.41, '2008-09': -50.08, '2009-10': -14.03, '2010-11': -35.64, '2011-12': -50.25}"
Italy: Serie C2/C,3,333,67,0.2012,-1048.57,-31.49,3.624,0.2632,0,3,"{'2008-09': -53.63, '2009-10': -14.81, '2010-11': -31.59}"
Russia: Division 2 - Ural-Povolzhye,3,247,48,0.1943,-789.53,-31.96,3.52,0.2557,0,4,"{'2011-12': -12.33, '2012-13': -33.47, '2013-14': -53.27, '2014-15': -40.18}"
Indonesia: Super Liga,1,327,66,0.2018,-1056.11,-32.3,3.56,0.2652,0,4,"{'2011-12': -34.1, '2012-13': -16.82, '2013-14': -32.38, '2014-15': -75.11}"
Italy: Lega Pro - Group C,3,201,42,0.209,-651.52,-32.41,3.422,0.2391,0,1,{'2014-15': -32.41}
Yemen: Division 1,3,201,40,0.199,-654.38,-32.56,3.544,0.2583,0,3,"{'2012-13': -37.0, '2013-14': -44.62, '2014-15': -5.49}"
Romania: Division 2/Serie 2,3,204,41,0.201,-671.3,-32.91,3.437,0.2313,0,3,"{'2012-13': -16.48, '2013-14': -26.74, '2014-15': -62.23}"
Morocco: Botola,3,452,92,0.2035,-1526.12,-33.76,3.459,0.249,0,5,"{'2009-10': -7.05, '2010-11': -16.96, '2011-12': -29.37, '2012-13': -52.61, '2013-14': -41.64}"
Albania: Super League,3,177,36,0.2034,-605.75,-34.22,3.547,0.2419,1,5,"{'2009-10': -58.53, '2010-11': -36.81, '2011-12': 11.22, '2012-13': -31.31, '2013-14': -71.38}"
Kuwait: Premier League,1,200,40,0.2,-708.63,-35.43,3.414,0.2597,0,4,"{'2011-12': -38.42, '2012-13': -28.5, '2013-14': -31.04, '2014-15': -43.69}"
South Korea: K-League Classic,3,192,37,0.1927,-680.7,-35.45,3.465,0.2444,0,2,"{'2013-14': -30.92, '2014-15': -36.46}"
Egypt: Premier League,1,707,145,0.2051,-2517.59,-35.61,3.438,0.2428,0,7,"{'2008-09': -35.3, '2009-10': -52.15, '2010-11': -36.1, '2011-12': -51.6, '2012-13': -22.79, '2013-14': -43.87, '2014-15': -15.88}"
Jordan: Premier League,1,241,48,0.1992,-974.53,-40.44,3.334,0.2462,0,4,"{'2011-12': -37.56, '2012-13': -52.44, '2013-14': -14.99, '2014-15': -57.82}"
Guatemala: Liga Nacional,3,844,142,0.1682,-3431.35,-40.66,3.786,0.2881,0,7,"{'2008-09': -43.19, '2009-10': -41.17, '2010-11': -42.17, '2011-12': -48.91, '2012-13': -39.76, '2013-14': -27.98, '2014-15': -39.51}"
Iran: Division 1,3,529,94,0.1777,-2239.43,-42.33,3.378,0.2324,0,4,"{'2011-12': -46.39, '2012-13': -39.21, '2013-14': -38.06, '2014-15': -50.45}"
Ghana: Premier League,1,195,28,0.1436,-917.71,-47.06,3.779,0.2772,0,3,"{'2012-13': -54.36, '2013-14': -33.28, '2014-15': -73.18}"
