league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Ireland: Premier League,1,880,221,0.2511,-1401.25,-15.92,3.523,0.2665,1,11,"{'2004-05': -3.01, '2005-06': -27.38, '2006-07': -26.19, '2007-08': -7.12, '2008-09': -1.15, '2009-10': -17.5, '2010-11': -38.23, '2011-12': 3.23, '2012-13': -10.3, '2013-14': -23.88, '2014-15': -17.98}"
Serbia: Super Liga,1,687,175,0.2547,-1110.52,-16.16,3.503,0.252,0,9,"{'2006-07': -52.68, '2007-08': -31.34, '2008-09': -20.4, '2009-10': -5.37, '2010-11': -18.72, '2011-12': -15.27, '2012-13': -28.77, '2013-14': -6.73, '2014-15': -0.13}"
Norway: Division 2 - Group 1,3,672,186,0.2768,-1090.53,-16.23,3.266,0.2691,1,7,"{'2008-09': -45.78, '2009-10': -21.27, '2010-11': -31.57, '2011-12': -11.55, '2012-13': 13.43, '2013-14': -4.86, '2014-15': -27.73}"
India: I-League,3,494,126,0.2551,-806.37,-16.32,3.333,0.2541,1,6,"{'2009-10': -24.6, '2010-11': -24.24, '2011-12': -14.16, '2012-13': -31.46, '2013-14': 14.59, '2014-15': -21.18}"
United Arab Emirates: UAE League,3,479,128,0.2672,-781.74,-16.32,3.382,0.257,0,6,"{'2009-10': -14.61, '2010-11': -10.39, '2011-12': -8.55, '2012-13': -14.57, '2013-14': -22.98, '2014-15': -17.25}"
Denmark: 2nd Division East,3,1050,278,0.2648,-1727.96,-16.46,3.36,0.267,2,9,"{'2006-07': 11.86, '2007-08': -13.8, '2008-09': -23.03, '2009-10': -7.33, '2010-11': -47.64, '2011-12': 3.98, '2012-13': -8.51, '2013-14': -17.38, '2014-15': -28.48}"
Finland: Kakkonen West,3,173,45,0.2601,-285.66,-16.51,3.411,0.2617,0,4,"{'2011-12': -36.75, '2012-13': -3.54, '2013-14': -20.76, '2014-15': -15.32}"
Israel: Leumit League,3,928,240,0.2586,-1532.84,-16.52,3.368,0.2539,0,6,"{'2009-10': -19.08, '2010-11': -26.79, '2011-12': -4.2, '2012-13': -21.09, '2013-14': -9.43, '2014-15': -19.88}"
Colombia: Liga Postobon,1,1658,418,0.2521,-2747.59,-16.57,3.553,0.2589,1,9,"{'2006-07': -29.08, '2007-08': 6.33, '2008-09': -8.77, '2009-10': -25.07, '2010-11': -29.12, '2011-12': -21.66, '2012-13': -7.59, '2013-14': -16.41, '2014-15': -29.97}"
Turkey: TFF 2. Lig White Group,3,625,157,0.2512,-1038.99,-16.62,3.422,0.2412,1,5,"{'2010-11': -34.74, '2011-12': -12.38, '2012-13': -31.66, '2013-14': -14.28, '2014-15': 13.61}"
Italy: Serie C2/A,3,402,98,0.2438,-668.36,-16.63,3.567,0.2298,0,3,"{'2008-09': -12.65, '2009-10': -4.02, '2010-11': -37.82}"
Iraq: Super League,3,139,35,0.2518,-231.27,-16.64,3.438,0.2563,1,5,"{'2009-10': -86.1, '2010-11': -29.53, '2011-12': -13.71, '2012-13': -2.2, '2013-14': 57.64}"
Belgium: Belgium Third Division Group A,3,560,142,0.2536,-933.05,-16.66,3.406,0.2701,1,4,"{'2011-12': 4.95, '2012-13': -27.57, '2013-14': -22.36, '2014-15': -5.5}"
El Salvador: Primera Division,1,358,92,0.257,-598.61,-16.72,3.348,0.2483,1,5,"{'2009-10': -86.67, '2010-11': -21.95, '2011-12': -27.4, '2012-13': -18.49, '2014-15': 30.49}"
Georgia: Umaglesi Liga,3,312,81,0.2596,-522.25,-16.74,3.489,0.2815,2,6,"{'2009-10': -24.5, '2010-11': -40.01, '2011-12': -28.21, '2012-13': 20.57, '2013-14': 7.56, '2014-15': -19.74}"
Germany: Oberliga Bayern,3,180,45,0.25,-301.7,-16.76,3.347,0.2917,0,1,{'2011-12': -16.76}
Germany: Oberliga Hamburg,3,687,180,0.262,-1152.93,-16.78,3.369,0.2824,1,4,"{'2011-12': 8.87, '2012-13': -32.92, '2013-14': -16.9, '2014-15': -22.03}"
Italy: Lega Pro - Group A,3,207,53,0.256,-348.05,-16.81,3.437,0.2345,0,1,{'2014-15': -16.81}
Belgium: Proximus League,3,150,37,0.2467,-253.55,-16.9,3.485,0.2764,0,1,{'2014-15': -16.9}
Italy: Lega Pro - Group B,3,211,54,0.2559,-356.74,-16.91,3.311,0.2506,0,1,{'2014-15': -16.91}
Qatar: Premier League,1,301,79,0.2625,-509.36,-16.92,3.343,0.2472,0,4,"{'2011-12': -21.45, '2012-13': -6.29, '2013-14': -31.61, '2014-15': -7.27}"
Argentina: Primera B Metropolitana,2,479,119,0.2484,-812.36,-16.96,3.391,0.2417,1,4,"{'2010-11': -18.2, '2012-13': 0.37, '2013-14': -8.2, '2014-15': -28.05}"
South Korea: K-League,3,554,143,0.2581,-945.21,-17.06,3.386,0.2519,1,5,"{'2008-09': -35.08, '2009-10': -15.81, '2010-11': 16.38, '2011-12': -31.22, '2012-13': -24.79}"
Italy: Serie B,2,2415,604,0.2501,-4135.05,-17.12,3.529,0.2448,0,10,"{'2004-05': -20.64, '2005-06': -23.18, '2006-07': -20.28, '2007-08': -16.57, '2008-09': -11.89, '2009-10': -8.61, '2011-12': -17.21, '2012-13': -24.65, '2013-14': -8.59, '2014-15': -22.21}"
Argentina: Primera B Nacional,2,1431,357,0.2495,-2458.42,-17.18,3.455,0.2511,1,7,"{'2008-09': 39.78, '2009-10': -8.25, '2010-11': -10.82, '2011-12': -26.61, '2012-13': -16.99, '2013-14': -21.12, '2014-15': -25.1}"
England: Blue Square South,3,434,112,0.2581,-752.94,-17.35,3.342,0.2735,0,2,"{'2008-09': -17.89, '2009-10': -16.98}"
Iran: Persian Gulf Pro League,3,128,32,0.25,-223.38,-17.45,3.406,0.2323,0,1,{'2014-15': -17.45}
England: Blue Square North,3,457,115,0.2516,-797.99,-17.46,3.317,0.2591,0,2,"{'2008-09': -20.18, '2009-10': -15.42}"
China: Super League,3,772,195,0.2526,-1354.96,-17.55,3.419,0.2453,0,7,"{'2008-09': -20.6, '2009-10': -5.16, '2010-11': -19.48, '2011-12': -37.11, '2012-13': -22.44, '2013-14': -11.11, '2014-15': -2.54}"
Spain: Segunda Division B - Group 4,2,1190,292,0.2454,-2090.89,-17.57,3.501,0.2672,0,7,"{'2008-09': -20.71, '2009-10': -13.87, '2010-11': -19.86, '2011-12': -15.15, '2012-13': -19.23, '2013-14': -13.09, '2014-15': -23.35}"
Czech Republic: Gambrinus liga,3,972,255,0.2623,-1707.65,-17.57,3.446,0.2546,1,9,"{'2004-05': -9.45, '2005-06': -35.25, '2006-07': -28.32, '2007-08': -25.97, '2008-09': -0.36, '2009-10': -7.71, '2011-12': 3.81, '2012-13': -18.96, '2013-14': -29.97}"
Austria: T-Mobile Bundesliga,1,564,140,0.2482,-992.22,-17.59,3.451,0.2686,1,7,"{'2004-05': -23.27, '2005-06': -18.5, '2006-07': -9.09, '2007-08': -18.66, '2008-09': -30.53, '2009-10': -37.07, '2010-11': 5.95}"
Slovakia: 2. liga,3,613,152,0.248,-1082.28,-17.66,3.529,0.2724,1,7,"{'2007-08': -15.91, '2008-09': -32.31, '2009-10': -19.82, '2010-11': -13.8, '2011-12': -47.32, '2012-13': -6.04, '2013-14': 12.45}"
Italy: Serie C1/A,3,921,224,0.2432,-1634.6,-17.75,3.623,0.2486,0,6,"{'2005-06': -31.99, '2006-07': -7.71, '2007-08': -21.78, '2008-09': -5.64, '2009-10': -28.61, '2010-11': -14.6}"
Austria: Regionalliga Central,3,770,202,0.2623,-1378.52,-17.9,3.377,0.2845,0,7,"{'2008-09': -32.71, '2009-10': -12.97, '2010-11': -9.52, '2011-12': -21.02, '2012-13': -26.28, '2013-14': -26.08, '2014-15': -1.4}"
Bahrain: Premier League,1,210,55,0.2619,-377.4,-17.97,3.326,0.2685,1,6,"{'2009-10': -6.18, '2010-11': -50.93, '2011-12': 3.24, '2012-13': -38.56, '2013-14': -41.54, '2014-15': -0.97}"
Romania: Liga I,1,1151,293,0.2546,-2090.67,-18.16,3.46,0.2519,0,10,"{'2005-06': -38.38, '2006-07': -16.81, '2007-08': -16.94, '2008-09': -18.12, '2009-10': -11.49, '2010-11': -13.03, '2011-12': -13.46, '2012-13': -19.59, '2013-14': -22.27, '2014-15': -18.08}"
France: Ligue 2,2,2160,526,0.2435,-3938.39,-18.23,3.593,0.2571,1,10,"{'2004-05': -34.86, '2005-06': -31.7, '2006-07': -24.66, '2007-08': -16.52, '2008-09': 1.2, '2009-10': -18.22, '2011-12': -12.25, '2012-13': -14.18, '2013-14': -18.31, '2014-15': -22.83}"
Thailand: Thai Premier League,1,653,167,0.2557,-1192.84,-18.27,3.39,0.2427,0,5,"{'2010-11': -19.98, '2011-12': -8.43, '2012-13': -32.94, '2013-14': -8.03, '2014-15': -24.42}"
Greece: Football League - Group 2,3,133,31,0.2331,-245.46,-18.46,3.683,0.263,0,2,"{'2013-14': -17.17, '2014-15': -19.69}"
Bolivia: Liga de Futbol Prof,3,672,165,0.2455,-1246.75,-18.55,3.599,0.2887,0,7,"{'2008-09': -15.16, '2009-10': -11.34, '2010-11': -8.55, '2011-12': -3.37, '2012-13': -20.22, '2013-14': -32.83, '2014-15': -33.62}"
Costa Rica: Primera Division,1,713,176,0.2468,-1333.92,-18.71,3.424,0.2521,0,5,"{'2010-11': -6.94, '2011-12': -14.6, '2012-13': -15.03, '2013-14': -34.28, '2014-15': -18.7}"
USA: USL First Division,3,172,41,0.2384,-323.34,-18.8,3.495,0.256,0,3,"{'2008-09': -29.83, '2009-10': -13.36, '2010-11': -23.6}"
USA: MLS,1,1729,428,0.2475,-3260.12,-18.86,3.496,0.2607,0,11,"{'2004-05': -60.36, '2005-06': -33.95, '2006-07': -9.79, '2007-08': -19.79, '2008-09': -27.09, '2009-10': -18.53, '2010-11': -12.67, '2011-12': -20.33, '2012-13': -17.97, '2013-14': -6.27, '2014-15': -13.78}"
Portugal: Segunda Liga,2,922,234,0.2538,-1747.21,-18.95,3.394,0.2522,0,3,"{'2012-13': -20.76, '2013-14': -20.0, '2014-15': -16.22}"
Portugal: Liga de Honra,3,990,246,0.2485,-1893.11,-19.12,3.415,0.2422,0,7,"{'2005-06': -31.33, '2006-07': -29.57, '2007-08': -11.77, '2008-09': -6.47, '2009-10': -12.06, '2010-11': -26.9, '2011-12': -17.69}"
Poland: Division 1,3,1200,304,0.2533,-2296.39,-19.14,3.407,0.2591,0,7,"{'2008-09': -18.8, '2009-10': -19.21, '2010-11': -42.56, '2011-12': -12.27, '2012-13': -18.97, '2013-14': -12.35, '2014-15': -12.76}"
