cb_league_id,cb_name_en,cb_name_et,cb_country_slug,cb_full_slug,cb_country_canonical,af_db_league_id,af_name,af_country,af_matches_30d,af_bets_30d,match_score,confidence,review_note,country_restricted,debug
18956,Primera División,Primera División (Argentina),argentina,football/argentina/primera-division,Argentina,94a0beb9-62b8-4e8c-bc44-415cbb66cf75,Liga Profesional Argentina,Argentina,31,12,1.000,high,,yes,manual override
28551,Copa Sudamericana,Copa Sudamericana,americas,football/americas/copa-sudamericana,World,c7483064-f6f4-44d8-b708-8bff85bcdaf1,CONMEBOL Sudamericana,World,45,6,1.000,high,,yes,manual override
18976,Championship,Championship,england,football/england/championship,England,01ba89d6-1b7b-4ee7-95e9-adf8cd617afc,Championship,England,40,11,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19051,OBOS-ligaen,First Division (Norway),norway,football/norway/first-division,Norway,655a0c95-dc74-495d-a999-5951fac011b8,OBOS-ligaen,Norway,1,0,1.000,high,,yes,manual override
20191,1. Division,1. Division (Iceland),iceland,football/iceland/1-division,Iceland,dc084ae8-ff54-4263-be44-8323fc9d44ae,1. Deild,Iceland,18,11,1.000,high,,yes,manual override
19226,DFB Pokal,DFB Pokal,germany,football/germany/dfb-pokal,Germany,9a6ff7df-7bf3-4115-8f09-7be3c9a4cf17,DFB Pokal - Women,Germany,1,1,0.900,high,,yes,sim=0.75 tok=0.67 contain=0.15
20138,Copa Argentina,Copa Argentina,argentina,football/argentina/copa-argentina,Argentina,6146e737-50fe-40af-b3c8-e556bab18de9,Copa Argentina,Argentina,4,1,1.000,high,,yes,manual override
61856,Group Stage Specials,,world-cup,football/world-cup/Group-Stage-Specials,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,AF has no World Cup row; mapped to Friendlies as international-bucket fallback,yes,manual override
18995,Serie B,Serie B,italy,football/italy/serie-b,Italy,81156b2d-bc31-4c38-9f28-873a5158b873,Serie B,Italy,37,24,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18770,League One,League One,england,football/england/league-one,England,57ac2b84-63ea-41de-aea7-d817eda98a7b,League One,England,37,5,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20136,Damallsvenskan,Damallsvenskan,sweden,football/sweden/swedish-damallsvenskan,Sweden,54bd8c4e-bd8c-4b0b-b9bf-58ea474e95d3,Damallsvenskan,Sweden,21,6,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18982,League Two,League Two,england,football/england/league-two,England,e9095165-3e24-40ea-b474-f3c4c3381994,League Two,England,30,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
61857,Nation Specials,,world-cup,football/world-cup/World-Cup-Nation-Specials,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,AF has no World Cup row; mapped to Friendlies as international-bucket fallback,yes,manual override
42880,Elitettan,Elitettan,sweden,football/sweden/elitettan,Sweden,5e69e405-c86a-4827-abcc-3b6e27d1141d,Elitettan,Sweden,21,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
25195,Bundesliga Promotion/Relegation Playoff,Bundesliga Edendamise/Taandamise Playoff,germany,football/germany/bundesliga-promotionrelegation-playoff,Germany,e8094a6f-70b5-4c9d-ba89-4ed16fe29403,Bundesliga,Germany,37,17,0.558,medium,,yes,sim=0.41 tok=0.25 contain=0.15
19258,Ettan Norra,Ettan Norra,sweden,football/sweden/division-1-norra,Sweden,0bcf80ef-8787-4194-9cab-3b3f39fb61c9,Ettan - Norra,Sweden,33,7,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20495,Icelandic Premier League Woman,Icelandic Úrvalsdeild Naised,iceland,football/iceland/icelandic-women-urvalsdeild,Iceland,6e619cd9-b9d7-4bd7-9956-6e440e63e474,Úrvalsdeild,Iceland,24,13,0.936,high,,yes,sim=0.79 tok=0.50 contain=0.15
25221,2.Bundesliga Promotion/Relegation Playoff,2.Bundesliga Edendamise/Taandamise Playoff,germany,football/germany/2bundesliga-promotionrelegation-playoff,Germany,1cdec207-a82a-4ab7-9365-3b411d066b93,2. Bundesliga,Germany,36,29,0.603,medium,,yes,sim=0.45 tok=0.40 contain=0.15
19256,Division 2 Norra Svealand,Division 2 Norra Svealand,sweden,football/sweden/division-2-norra-svealand,Sweden,c95be23c-6070-485b-b882-88d6383b0c36,Division 2 - Norra Svealand,Sweden,21,2,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19254,Division 2 Södra Svealand,Division 2 Södra Svealand,sweden,football/sweden/division-2-sodra-svealand,Sweden,2eeeb001-0a33-4247-a74f-0e84bb96506e,Division 2 - Södra Svealand,Sweden,21,2,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19262,Division 2 Norra Götaland,Division 2 Norra Götaland,sweden,football/sweden/division-2-norra-gotaland,Sweden,ec6f743e-7a26-431d-a688-a3ec6e2d94f6,Division 2 - Norra Götaland,Sweden,22,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20323,Kolmonen Etelä B,Kolmonen Etelä B,finland,football/finland/kolmonen-etela-2,Finland,2c06986e-42a0-43bf-9afd-46dda25969a5,Kakkonen - Lohko B,Finland,15,3,0.562,medium,AF has no 3rd-tier Finnish league; mapped to closest Kakkonen,yes,sim=0.56 tok=0.33 contain=0.00
19261,Division 2 Västra Götaland,Division 2 Västra Götaland,sweden,football/sweden/division-2-vastra-gotaland,Sweden,732608d0-fd6f-47a0-b9e9-5537e8d7d0d0,Division 2 - Västra Götaland,Sweden,21,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19255,Division 2 Södra Götaland,Division 2 Södra Götaland,sweden,football/sweden/division-2-sodra-gotaland,Sweden,904ffc7f-f517-4c93-8f34-39d86e6497e1,Division 2 - Östra Götaland,Sweden,21,4,0.920,high,,yes,sim=0.92 tok=0.75 contain=0.00
20509,Kolmonen Itä AC1,Kolmonen Itä AC1,finland,football/finland/kolmonen-ita-ac1,Finland,4e627dac-a2c9-4949-9f99-4df2e92596ca,Kakkonen - Lohko A,Finland,15,2,0.500,low,AF has no 3rd-tier Finnish league; mapped to closest Kakkonen,yes,sim=0.50 tok=0.00 contain=0.00
65195,AFC Women's Champions League,AFC Women's Champions League,asia,football/asia/AFC-Women's-Champions-League,World,6fa42fe3-7713-4d08-a43a-e0830056a4c9,AFC Women's Champions League,World,2,0,1.000,high,,yes,manual override
20510,Kolmonen Itä B,Kolmonen Itä B,finland,football/finland/kolmonen-ita-b,Finland,2c06986e-42a0-43bf-9afd-46dda25969a5,Kakkonen - Lohko B,Finland,15,3,0.533,low,AF has no 3rd-tier Finnish league; mapped to closest Kakkonen,yes,sim=0.53 tok=0.33 contain=0.00
20225,Kolmonen Länsi A,Kolmonen Länsi A,finland,football/finland/kolmonen-lansi-a,Finland,4e627dac-a2c9-4949-9f99-4df2e92596ca,Kakkonen - Lohko A,Finland,15,2,0.562,medium,AF has no 3rd-tier Finnish league; mapped to closest Kakkonen,yes,sim=0.56 tok=0.33 contain=0.00
20322,Kolmonen Länsi B,Kolmonen Länsi B,finland,football/finland/kolmonen-lansi-b,Finland,2c06986e-42a0-43bf-9afd-46dda25969a5,Kakkonen - Lohko B,Finland,15,3,0.562,medium,AF has no 3rd-tier Finnish league; mapped to closest Kakkonen,yes,sim=0.56 tok=0.33 contain=0.00
