source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
deepbetting,2026-05-17,Premier League,,,over_under_25,,2.000,won,1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Ligue 1,,,1x2,,1.830,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Ligue 1,,,1x2,,1.400,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Ligue 1,,,over_under_25,,1.360,won,0.3600,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Ligue 1,,,1x2,,1.330,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Ligue 1,,,over_under_25,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Serie A,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Serie A,,,1x2,,1.220,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Serie A,,,1x2,,1.360,won,0.3600,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Serie A,,,over_under_25,,2.100,won,1.1000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Serie A,,,1x2,,2.380,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,over_under_25,,1.730,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,over_under_25,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,1x2,,2.100,won,1.1000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,over_under_25,,1.730,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,over_under_25,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,La Liga,,,1x2,,1.850,won,0.8500,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Eredivisie,,,1x2,,1.380,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Eredivisie,,,1x2,,2.100,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Eredivisie,,,1x2,,1.560,won,0.5600,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Eredivisie,,,over_under_25,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Eredivisie,,,over_under_25,,1.910,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Brasileirão Série A,,,over_under_25,,1.850,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Brasileirão Série A,,,1x2,,1.700,won,0.7000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Brasileirão Série A,,,1x2,,1.750,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Allsvenskan,,,over_under_25,,1.850,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Allsvenskan,,,1x2,,1.600,won,0.6000,https://deepbetting.io/dashboard/
deepbetting,2026-05-18,Premier League,,,over_under_25,,1.330,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-20,UEFA Europa League,,,over_under_25,,2.100,won,1.1000,https://deepbetting.io/dashboard/
deepbetting,2026-05-20,Eliteserien,,,over_under_25,,1.800,won,0.8000,https://deepbetting.io/dashboard/
deepbetting,2026-05-20,Eliteserien,,,1x2,,1.220,won,0.2200,https://deepbetting.io/dashboard/
deepbetting,2026-05-20,Eliteserien,,,1x2,,1.850,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-21,Eredivisie,,,1x2,,1.910,won,0.9100,https://deepbetting.io/dashboard/
deepbetting,2026-05-21,Allsvenskan,,,over_under_25,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-22,Allsvenskan,,,1x2,,1.400,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,Serie A,,,1x2,,1.600,won,0.6000,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,La Liga,,,over_under_25,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,La Liga,,,over_under_25,,1.360,won,0.3600,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,La Liga,,,1x2,,1.750,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,La Liga,,,1x2,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,La Liga,,,over_under_25,,1.140,won,0.1400,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,Brasileirão Série A,,,1x2,,2.200,won,1.2000,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,Brasileirão Série A,,,over_under_25,,1.670,won,0.6700,https://deepbetting.io/dashboard/
deepbetting,2026-05-23,Allsvenskan,,,over_under_25,,1.670,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Premier League,,,over_under_25,,1.220,won,0.2200,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Premier League,,,1x2,,1.850,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Premier League,,,over_under_25,,1.300,won,0.3000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Premier League,,,over_under_25,,1.570,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Premier League,,,1x2,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Premier League,,,1x2,,1.850,won,0.8500,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Serie A,,,over_under_25,,1.720,won,0.7200,https://deepbetting.io/dashboard/
deepbetting,2026-05-24,Serie A,,,1x2,,1.300,lost,-1.0000,https://deepbetting.io/dashboard/
