source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
winnerodds,2026-06-26,Mozambique,,,asian_handicap,ah-0_1,1.255,void,0.0000,https://winnerodds.com
winnerodds,2026-06-27,Malawi,,,1x2,2,1.420,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-27,Malawi,,,asian_handicap,ah+0.5_1,1.125,won,0.1250,https://winnerodds.com
winnerodds,2026-06-28,Latvia,,,asian_handicap,ah-0_2,1.600,won,0.6000,https://winnerodds.com
winnerodds,2026-06-27,Norway,,,over_under_35,o3.5,1.750,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-26,Russia,,,1x2,1,1.820,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,Belarus,,,asian_handicap,ah-0_2,2.106,won,1.1060,https://winnerodds.com
winnerodds,2026-06-23,Australia,,,over_under_25,u2.5,4.500,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-25,Paraguay,,,asian_handicap,ah-0_1,1.250,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Chile,,,asian_handicap,ah-0_2,1.363,won,0.3630,https://winnerodds.com
winnerodds,2026-06-24,Argentina,,,asian_handicap,ah-0_1,1.340,won,0.3400,https://winnerodds.com
winnerodds,2026-06-24,Paraguay,,,asian_handicap,ah-0_1,1.480,won,0.4800,https://winnerodds.com
winnerodds,2026-06-27,Argentina,,,1x2,1,3.530,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Argentina,,,asian_handicap,ah-0_1,1.280,won,0.2800,https://winnerodds.com
winnerodds,2026-06-22,Belarus,,,asian_handicap,ah-0_1,1.180,void,0.0000,https://winnerodds.com
winnerodds,2026-06-24,Iran,,,asian_handicap,ah-0_1,1.730,void,0.0000,https://winnerodds.com
winnerodds,2026-06-24,Argentina,,,asian_handicap,ah-0.5_1,2.229,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Uruguay,,,asian_handicap,ah-0_2,1.640,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,Iceland,,,over_under_35,o3.5,1.540,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-26,Finland,,,1x2,2,1.333,won,0.3330,https://winnerodds.com
winnerodds,2026-06-22,Belarus,,,asian_handicap,ah-0.5_1,2.170,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-26,Morocco,,,1x2,1,2.800,won,1.8000,https://winnerodds.com
winnerodds,2026-06-24,Lithuania,,,1x2,2,1.415,won,0.4150,https://winnerodds.com
winnerodds,2026-06-23,Kazakhstan,,,asian_handicap,ah-0_2,1.740,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,Kazakhstan,,,over_under_25,u2.5,1.564,won,0.5640,https://winnerodds.com
winnerodds,2026-06-27,Tajikistan,,,asian_handicap,ah-0_2,2.430,void,0.0000,https://winnerodds.com
winnerodds,2026-06-27,Norway,,,over_under_35,o3.5,1.491,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-25,Russia,,,1x2,1,4.366,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-25,Russia,,,asian_handicap,ah+0.5_2,4.500,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-25,Russia,,,1x2,1,1.270,won,0.2700,https://winnerodds.com
winnerodds,2026-06-24,Brazil,,,1x2,2,4.956,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Finland,,,asian_handicap,ah-0_2,1.130,won,0.1300,https://winnerodds.com
winnerodds,2026-06-23,Sweden,,,asian_handicap,ah-0_1,2.250,void,0.0000,https://winnerodds.com
winnerodds,2026-06-22,Sweden,,,asian_handicap,ah-0_2,1.720,won,0.7200,https://winnerodds.com
winnerodds,2026-06-22,Sweden,,,asian_handicap,ah-0_1,1.285,won,0.2850,https://winnerodds.com
winnerodds,2026-06-21,Norway,,,1x2,1,4.200,won,3.2000,https://winnerodds.com
winnerodds,2026-06-25,Russia,,,asian_handicap,ah-0_2,1.980,void,0.0000,https://winnerodds.com
winnerodds,2026-06-22,Belarus,,,1x2,1,1.230,won,0.2300,https://winnerodds.com
winnerodds,2026-06-27,Finland,,,asian_handicap,ah-0_2,4.200,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-27,Norway,,,asian_handicap,ah-0_2,2.650,void,0.0000,https://winnerodds.com
winnerodds,2026-06-25,Russia,,,asian_handicap,ah-0_1,1.540,won,0.5400,https://winnerodds.com
winnerodds,2026-06-25,Russia,,,1x2,2,3.205,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Lithuania,,,asian_handicap,ah-0_2,1.142,won,0.1420,https://winnerodds.com
winnerodds,2026-06-22,Lithuania,,,asian_handicap,ah-0_2,1.363,won,0.3630,https://winnerodds.com
winnerodds,2026-06-22,Kazakhstan,,,asian_handicap,ah-0_2,1.900,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-27,Malawi,,,asian_handicap,ah-0_1,1.800,won,0.8000,https://winnerodds.com
winnerodds,2026-06-22,Kazakhstan,,,asian_handicap,ah-0_2,1.988,won,0.9880,https://winnerodds.com
winnerodds,2026-06-26,Norway,,,1x2,2,3.990,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,Belarus,,,asian_handicap,ah-0_1,1.301,won,0.3010,https://winnerodds.com
winnerodds,2026-06-26,Finland,,,asian_handicap,ah+0.5_2,4.555,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-26,Norway,,,asian_handicap,ah-0_2,1.615,won,0.6150,https://winnerodds.com
winnerodds,2026-06-24,Norway,,,over_under_35,o3.5,1.570,won,0.5700,https://winnerodds.com
winnerodds,2026-06-26,Russia,,,asian_handicap,ah-0_1,1.610,won,0.6100,https://winnerodds.com
winnerodds,2026-06-26,South Korea,,,asian_handicap,ah-0_2,1.400,void,0.0000,https://winnerodds.com
winnerodds,2026-06-26,South Korea,,,asian_handicap,ah-0_2,1.480,void,0.0000,https://winnerodds.com
winnerodds,2026-06-22,South Korea,,,over_under_25,u2.5,1.610,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-25,China,,,asian_handicap,ah-0_1,1.850,won,0.8500,https://winnerodds.com
winnerodds,2026-06-22,Australia,,,over_under_25,u2.5,1.892,won,0.8920,https://winnerodds.com
winnerodds,2026-06-23,Australia,,,asian_handicap,ah-0_2,1.520,won,0.5200,https://winnerodds.com
